sample_date,year,month,brood_yr,smolt_yr,fish,length_mean_cm,length_sd_cm,mass_mean_g,mass_sd_g,density_ha-1
7/24/2012,2012,7,2011,2013,Age-0 Nerkid,4.8,NA,1.1,NA,4244
7/4/2008,2008,7,2007,2009,Age-0 Nerkid,5,NA,1.3,NA,1075
7/15/2005,2005,7,2004,2006,Age-0 Nerkid,5,NA,1.4,NA,NA
8/3/2013,2013,8,2012,2014,Age-0 Nerkid,5.1,NA,1.4,NA,6480
7/12/2010,2010,7,2009,2011,Age-0 Nerkid,5.2,NA,1.5,NA,1466
9/5/2013,2013,9,2012,2014,Age-0 Nerkid,5.5,NA,1.7,NA,5254
7/26/2006,2006,7,2005,2007,Age-0 Nerkid,5.5,NA,1.9,NA,NA
7/24/2007,2007,7,2006,2008,Age-0 Nerkid,5.6,NA,2,NA,3620
7/20/2009,2009,7,2008,2010,Age-0 Nerkid,5.7,NA,2,NA,9862
8/4/2005,2005,8,2004,2006,Age-0 Nerkid,5.8,NA,2.6,NA,3299
8/2/2011,2011,8,2010,2012,Age-0 Nerkid,6,NA,2.2,NA,6147
8/14/2008,2008,8,2007,2009,Age-0 Nerkid,6,NA,2.1,NA,1481
8/15/2007,2007,8,2006,2008,Age-0 Nerkid,6,NA,2.2,NA,1782
9/11/2012,2012,9,2011,2013,Age-0 Nerkid,6.1,NA,2.3,NA,4285
9/6/2010,2010,9,2009,2011,Age-0 Nerkid,6.1,NA,2.4,NA,1085
8/24/2009,2009,8,2008,2010,Age-0 Nerkid,6.1,NA,2.4,NA,7945
8/9/2010,2010,8,2009,2011,Age-0 Nerkid,6.2,NA,2.7,NA,1346
9/7/2011,2011,9,2010,2012,Age-0 Nerkid,6.4,NA,2.8,NA,3650
9/13/2005,2005,9,2004,2006,Age-0 Nerkid,6.4,NA,3,NA,5623
9/5/2008,2008,9,2007,2009,Age-0 Nerkid,6.5,NA,2.8,NA,1199
9/28/2009,2009,9,2008,2010,Age-0 Nerkid,6.6,NA,3.1,NA,6785
9/29/2008,2008,9,2007,2009,Age-0 Nerkid,7.2,NA,4.6,NA,1042
